4778.44;39.39;4762.26;10.27
4786.91;111.55;4764.74;16.74
4786.91;94.52;4767.32;22.47
4769.97;92.35;4768.66;26.81
4769.97;25.05;4769.95;27.96
4778.44;-159.16;4771.47;21.13
4786.91;-21.64;4773.48;21.10
4786.91;5.65;4775.40;22.17
4744.55;2.16;4774.01;20.20
4736.07;29.58;4772.04;19.01
4761.49;11.53;4772.07;18.79
4769.97;0.87;4772.71;18.64
4693.71;25.64;4767.57;14.63
4693.71;11.08;4762.61;10.29
4753.02;6.44;4762.34;9.93
4753.02;-7.43;4762.04;8.96
4727.60;7.82;4759.83;7.05
4727.60;-5.40;4757.69;4.70
4769.97;0.68;4758.81;5.51
4778.44;33.82;4760.59;8.32
4769.97;-6.23;4761.63;8.62
4761.49;24.03;4762.03;9.69
4761.49;8.13;4762.42;10.00
4761.49;8.15;4762.79;10.28
4761.49;14.90;4763.16;10.85
4761.49;5.93;4763.52;10.99
4761.49;1.86;4763.83;10.91
4769.97;1.66;4764.76;11.35
4786.91;18.11;4766.94;13.57
4778.44;-5.31;4768.37;14.03
4753.02;10.96;4767.84;13.50
4744.55;-7.23;4766.64;11.61
4719.13;22.11;4763.57;9.49
4727.60;189.78;4761.63;15.83
4744.55;50.14;4761.12;17.01
4744.55;35.49;4760.64;17.48
4702.18;8.79;4756.98;14.03
4702.18;-3.67;4753.42;10.25
4753.02;31.76;4753.89;11.65
4753.02;23.42;4754.35;12.61
4753.02;-13.59;4754.76;11.86
4753.02;-11.44;4755.10;11.20
4761.49;5.69;4756.07;11.84
4769.97;-71.48;4757.49;9.43
4803.86;5.33;4761.41;12.66
4803.86;-3.75;4765.14;15.21
4753.02;16.67;4764.90;15.15
4753.02;31.47;4764.73;15.80
4761.49;35.35;4765.21;17.13
4761.49;20.91;4765.69;17.80
4795.39;11.79;4768.74;20.23
4795.39;-8.44;4771.61;21.52
4753.02;-6.68;4771.15;19.90
4753.02;15.85;4770.59;19.35
4803.86;-31.15;4773.86;20.06
4795.39;29.11;4776.45;22.79
4719.13;4.53;4773.06;19.19
4719.13;8.07;4769.80;15.99
4710.66;18.04;4766.01;12.91
4710.66;10.51;4762.39;9.76
4761.49;545.86;4763.75;34.16
4761.49;2663.70;4769.99;153.43
4685.24;1454.33;4772.94;214.16
4685.24;-383.98;4774.66;190.21
4761.49;-1426.86;4779.01;121.91
4761.49;-1387.86;4780.15;56.76
4795.39;-1120.47;4781.53;6.19
4812.33;-774.10;4782.50;-28.85
4820.81;-193.24;4783.85;-34.93
4820.81;-72.86;4784.99;-35.82
4736.07;200.85;4780.16;-29.90
4753.02;20.25;4776.84;-30.63
4761.49;164.81;4774.68;-23.82
4769.97;17.72;4773.36;-23.26
4786.91;119.26;4773.64;-16.83
4786.91;-16.34;4773.88;-16.68
4786.91;5.29;4774.18;-15.54
4795.39;-13.82;4775.10;-14.74
4803.86;-22.18;4776.63;-13.82
4803.86;-151.97;4777.82;-18.97
4795.39;-1390.83;4775.49;-82.93
4786.91;-4183.97;4765.08;-269.67
4820.81;-825.45;4756.24;-303.09
4837.75;1491.41;4752.60;-229.98
4744.55;2167.89;4746.46;-130.40
4736.07;60.29;4740.01;-127.78
4719.13;-367.50;4732.42;-145.26
4719.13;114.65;4725.46;-140.43
4702.18;-225.62;4717.29;-151.87
4719.13;-56.36;4710.72;-153.93
4744.55;-6.28;4706.60;-151.54
4753.02;17.63;4703.72;-147.24
4769.97;-4.31;4702.50;-142.67
4786.91;22.07;4702.79;-135.68
4727.60;28.19;4698.85;-132.32
4727.60;11.43;4695.56;-129.54
4753.02;24.02;4694.48;-124.29
4744.55;0.71;4692.90;-120.60
4702.18;1.31;4688.48;-119.57
4719.13;4.22;4685.75;-117.02
4795.39;8.97;4689.14;-109.10
4786.91;-7.19;4691.93;-102.72
4753.02;57.06;4692.25;-95.73
4761.49;-11.24;4693.43;-91.44
4727.60;-14.82;4692.12;-89.61
4744.55;24.10;4692.35;-84.81
4769.97;224.70;4695.10;-69.19
4778.44;-382.87;4697.67;-81.47
4795.39;33.79;4701.78;-73.34
4778.44;-30.71;4704.43;-69.53
4702.18;-1.60;4701.24;-69.54
4710.66;-0.85;4699.00;-68.75
4778.44;14.53;4702.20;-62.73
4761.49;15.97;4704.12;-57.97
4761.49;5.88;4705.98;-53.78
4769.97;5.02;4708.56;-49.22
4778.44;4.43;4711.82;-44.33
4769.97;0.78;4714.38;-40.39
4769.97;8.61;4716.92;-36.28
4769.97;7.14;4719.38;-32.39
4744.55;6.89;4719.92;-30.34
4744.55;15.21;4720.55;-27.98
4761.49;11.23;4722.48;-24.72
4753.02;6.43;4723.73;-22.36
4719.13;17.17;4722.41;-21.75
4719.13;12.18;4721.30;-21.36
4753.02;-0.12;4722.80;-19.24
4753.02;4.12;4724.28;-17.03
4744.55;8.58;4725.09;-15.24
4744.55;9.73;4725.97;-13.51
4778.44;13.14;4729.40;-9.46
4778.44;14.41;4732.74;-5.58
4753.02;21.51;4734.08;-3.26
4744.55;5.04;4734.75;-2.33
4778.44;6.05;4737.97;0.77
4778.44;10.02;4741.08;3.85
4736.07;5.37;4740.88;3.77
4736.07;8.98;4740.70;3.85
4710.66;8.67;4738.60;2.28
4702.18;11.69;4735.96;0.44
4761.49;7.97;4737.93;2.47
4744.55;20.13;4738.57;3.79
